t,v,gap,ttc,eff_off,lon_cmd,throttle,brake,rule_aeb,final_aeb,ovt,ped,ml_risk,ml_brake
0.05,0.346,-1,99,0.023,-0.015,0.014,0.0,0,0,idle,0,0.0,0.0
0.1,0.07,-1,99,0.023,-0.041,0.003,0.0,0,0,idle,0,0.0,0.0
0.15,0.049,-1,99,0.023,-0.076,0.026,0.0,0,0,idle,0,0.0,0.0
0.2,0.089,-1,99,0.023,-0.117,0.04,0.0,0,0,idle,0,0.0,0.0
0.25,0.092,26.03,99,0.023,-0.17,0.058,0.0,0,0,idle,0,0.0,0.0
0.3,0.081,26.03,99,0.023,-0.233,0.079,0.0,0,0,idle,0,0.0,0.0
0.35,0.065,26.03,99,0.023,-0.302,0.102,0.0,0,0,idle,0,0.0,0.0
0.4,0.05,26.03,99,0.023,-0.376,0.126,0.0,0,0,idle,0,0.0,0.0
0.45,0.037,26.03,99,0.023,-0.455,0.152,0.0,0,0,idle,0,0.0,0.0
0.5,0.027,26.03,99,0.023,-0.536,0.179,0.0,0,0,idle,0,0.0,0.0
0.55,0.019,26.03,99,0.023,-0.62,0.207,0.0,0,0,idle,0,0.0,0.0
0.6,0.013,26.03,99,0.023,-0.705,0.235,0.0,0,0,idle,0,0.0,0.0
0.65,0.009,26.03,99,0.023,-0.791,0.264,0.0,0,0,idle,0,0.0,0.0
0.7,0.006,26.03,99,0.023,-0.878,0.293,0.0,0,0,idle,0,0.0,0.0
0.75,0.004,26.03,99,0.023,-0.966,0.322,0.0,0,0,idle,0,0.0,0.0
0.8,0.003,26.03,99,0.023,-1.055,0.352,0.0,0,0,idle,0,0.0,0.0
0.85,0.002,26.03,99,0.023,-1.143,0.381,0.0,0,0,idle,0,0.0,0.0
0.9,0.001,26.03,99,0.023,-1.233,0.411,0.0,0,0,idle,0,0.0,0.0
0.95,0.0,26.03,99,0.023,-1.322,0.441,0.0,0,0,idle,0,0.0,0.0
1.0,0.001,26.03,99,0.023,-1.391,0.464,0.0,0,0,idle,0,0.0,0.0
1.05,0.0,26.03,99,0.023,-1.444,0.481,0.0,0,0,idle,0,0.0,0.0
1.1,0.0,26.03,99,0.023,-1.483,0.494,0.0,0,0,idle,0,0.0,0.0
1.15,0.0,26.03,99,0.023,-1.512,0.504,0.0,0,0,idle,0,0.0,0.0
1.2,0.0,26.03,99,0.023,-1.534,0.511,0.0,0,0,idle,0,0.0,0.0
1.25,0.0,26.03,99,0.023,-1.551,0.517,0.0,0,0,idle,0,0.0,0.0
1.3,0.0,26.03,99,0.023,-1.563,0.521,0.0,0,0,idle,0,0.0,0.0
1.35,0.0,26.03,99,0.023,-1.572,0.524,0.0,0,0,idle,0,0.0,0.0
1.4,0.761,26.01,34.18,0.023,-1.579,0.537,0.0,0,0,idle,0,0.0,0.0
1.45,1.305,25.96,19.89,0.023,-1.584,0.546,0.0,0,0,idle,0,0.0,0.0
1.5,1.745,25.88,14.83,0.022,-1.579,0.55,0.0,0,0,idle,0,0.0,0.0
1.55,2.051,25.78,12.57,0.022,-1.556,0.546,0.0,0,0,idle,0,0.0,0.0
1.6,2.299,25.67,11.16,0.022,-1.523,0.538,0.0,0,0,idle,0,0.0,0.0
1.65,2.494,25.55,10.24,0.022,-1.487,0.529,0.0,0,0,idle,0,0.0,0.0
1.7,2.673,25.42,9.51,0.022,-1.448,0.518,0.0,0,0,idle,0,0.0,0.0
1.75,2.841,25.28,8.9,0.022,-1.408,0.507,0.0,0,0,idle,0,0.0,0.0
1.8,2.999,25.13,8.38,0.022,-1.369,0.496,0.0,0,0,idle,0,0.0,0.0
1.85,3.149,24.98,7.93,0.022,-0.589,0.238,0.0,1,1,idle,0,0.0,0.0
1.9,3.274,24.82,7.58,0.022,0.746,0.0,0.093,1,1,idle,0,0.0,0.0
1.95,3.325,24.65,7.41,0.022,2.454,0.0,0.307,1,1,idle,0,0.0,0.0
2.0,3.293,24.49,7.43,0.022,3.73,0.0,0.466,1,1,idle,0,0.0,0.0
2.05,3.199,24.32,7.6,0.021,4.645,0.0,0.581,1,1,idle,0,0.0,0.0
2.1,3.067,24.17,7.88,0.021,5.262,0.0,0.658,1,1,idle,0,0.0,0.0
2.15,2.912,24.02,8.25,0.021,5.632,0.0,0.704,1,1,idle,0,0.0,0.0
2.2,2.745,23.88,8.7,0.021,5.798,0.0,0.725,1,1,idle,0,0.0,0.0
2.25,2.573,23.75,9.23,0.021,5.789,0.0,0.724,1,1,idle,0,0.0,0.0
2.3,2.401,23.62,9.84,0.021,5.631,0.0,0.704,1,1,idle,0,0.0,0.0
2.35,2.233,23.51,10.53,0.021,5.341,0.0,0.668,1,1,idle,0,0.0,0.0
2.4,2.073,23.4,11.29,0.021,4.932,0.0,0.617,1,1,idle,0,0.0,0.0
2.45,1.724,23.3,13.52,0.021,4.07,0.0,0.509,1,1,idle,0,0.0,0.0
2.5,0.398,23.26,58.39,0.021,3.4,0.0,0.425,0,0,idle,0,0.0,0.0
2.55,0.0,23.26,99,0.021,2.876,0.0,0.359,0,0,idle,0,0.0,0.0
2.6,0.0,23.26,99,0.021,2.46,0.0,0.307,0,0,idle,0,0.0,0.0
2.65,0.0,23.26,99,0.021,2.125,0.0,0.266,0,0,idle,0,0.0,0.0
2.7,0.0,23.26,99,0.021,1.852,0.0,0.231,0,0,idle,0,0.0,0.0
2.75,0.0,23.26,99,0.021,1.624,0.0,0.203,0,0,idle,0,0.0,0.0
2.8,0.0,23.26,99,0.021,1.431,0.0,0.179,0,0,idle,0,0.0,0.0
2.85,0.0,23.26,99,0.021,1.264,0.0,0.158,0,0,idle,0,0.0,0.0
2.9,0.0,23.26,99,0.021,1.116,0.0,0.139,0,0,idle,0,0.0,0.0
2.95,0.0,23.26,99,0.021,0.982,0.0,0.123,0,0,idle,0,0.0,0.0
3.0,0.0,23.26,99,0.021,0.86,0.0,0.107,0,0,idle,0,0.0,0.0
3.05,0.0,23.26,99,0.021,0.745,0.0,0.093,0,0,idle,0,0.0,0.0
3.1,0.0,23.26,99,0.021,0.637,0.0,0.08,0,0,idle,0,0.0,0.0
3.15,0.0,23.26,99,0.021,0.533,0.0,0.067,0,0,idle,0,0.0,0.0
3.2,0.0,23.26,99,0.021,0.433,0.0,0.054,0,0,idle,0,0.0,0.0
3.25,0.0,23.26,99,0.021,0.335,0.0,0.042,0,0,idle,0,0.0,0.0
3.3,0.0,23.26,99,0.021,0.239,0.0,0.03,0,0,idle,0,0.0,0.0
3.35,0.0,23.26,99,0.021,0.145,0.0,0.018,0,0,idle,0,0.0,0.0
3.4,0.0,23.26,99,0.021,0.052,0.0,0.006,0,0,idle,0,0.0,0.0
3.45,0.0,23.26,99,0.021,-0.041,0.0,0.0,0,0,idle,0,0.0,0.0
3.5,0.068,23.26,99,0.021,-0.133,0.045,0.0,0,0,idle,0,0.0,0.0
3.55,0.032,23.26,99,0.021,-0.224,0.075,0.0,0,0,idle,0,0.0,0.0
3.6,0.065,23.26,99,0.021,-0.315,0.106,0.0,0,0,idle,0,0.0,0.0
