t,v,gap,ttc,eff_off,lon_cmd,throttle,brake,rule_aeb,final_aeb,ovt,ped,ml_risk,ml_brake
0.05,0.346,-1,99,0.023,-0.015,0.014,0.0,0,0,idle,0,0.0,0.0
0.1,0.07,-1,99,0.023,-0.041,0.003,0.0,0,0,idle,0,0.0,0.0
0.15,0.049,-1,99,0.023,-0.076,0.026,0.0,0,0,idle,0,0.0,0.0
0.2,0.089,-1,99,0.023,-0.117,0.04,0.0,0,0,idle,0,0.0,0.0
0.25,0.092,26.03,99,0.023,-0.17,0.058,0.0,0,0,idle,0,0.0,0.0
0.3,0.081,26.03,99,0.023,-0.233,0.079,0.0,0,0,idle,0,0.0,0.0
0.35,0.065,26.03,99,0.023,-0.302,0.102,0.0,0,0,idle,0,0.0,0.0
0.4,0.05,26.03,99,0.023,-0.376,0.126,0.0,0,0,idle,0,0.0,0.0
0.45,0.037,26.03,99,0.023,-0.455,0.152,0.0,0,0,idle,0,0.0,0.0
0.5,0.027,26.03,99,0.023,-0.536,0.179,0.0,0,0,idle,0,0.0,0.0
0.55,0.019,26.03,99,0.023,-0.62,0.207,0.0,0,0,idle,0,0.0,0.0
0.6,0.013,26.03,99,0.023,-0.705,0.235,0.0,0,0,idle,0,0.0,0.0
0.65,0.009,26.03,99,0.023,-0.791,0.264,0.0,0,0,idle,0,0.0,0.0
0.7,0.006,26.03,99,0.023,-0.878,0.293,0.0,0,0,idle,0,0.0,0.0
0.75,0.004,26.03,99,0.023,-0.966,0.322,0.0,0,0,idle,0,0.0,0.0
0.8,0.003,26.03,99,0.023,-1.055,0.352,0.0,0,0,idle,0,0.0,0.0
0.85,0.002,26.03,99,0.023,-1.143,0.381,0.0,0,0,idle,0,0.0,0.0
0.9,0.001,26.03,99,0.023,-1.233,0.411,0.0,0,0,idle,0,0.0,0.0
0.95,0.0,26.03,99,0.023,-1.322,0.441,0.0,0,0,idle,0,0.0,0.0
1.0,0.001,26.03,99,0.023,-1.391,0.464,0.0,0,0,idle,0,0.0,0.0
1.05,0.0,26.03,99,0.023,-1.444,0.481,0.0,0,0,idle,0,0.0,0.0
1.1,0.0,26.03,99,0.023,-1.483,0.494,0.0,0,0,idle,0,0.0,0.0
1.15,0.0,26.03,99,0.023,-1.512,0.504,0.0,0,0,idle,0,0.0,0.0
1.2,0.0,26.03,99,0.023,-1.534,0.511,0.0,0,0,idle,0,0.074,0.0
1.25,0.0,26.03,99,0.023,-1.551,0.517,0.0,0,0,idle,0,0.074,0.0
1.3,0.0,26.03,99,0.023,-1.563,0.521,0.0,0,0,idle,0,0.074,0.0
1.35,0.0,26.03,99,0.023,-1.572,0.524,0.0,0,0,idle,0,0.074,0.0
1.4,0.77,26.01,33.78,0.023,-1.564,0.532,0.0,0,0,idle,0,0.088,0.0
1.45,1.336,25.96,19.42,0.023,-1.536,0.53,0.0,0,0,idle,0,0.115,0.0
1.5,1.755,25.88,14.75,0.022,-1.492,0.521,0.0,0,0,idle,0,0.145,0.0
1.55,2.041,25.78,12.63,0.022,-1.436,0.506,0.0,0,0,idle,0,0.18,0.0
1.6,2.295,25.67,11.19,0.022,-1.372,0.488,0.0,0,0,idle,0,0.225,0.0
1.65,2.474,25.55,10.33,0.022,-1.303,0.467,0.0,0,0,idle,0,0.28,0.0
1.7,2.659,25.42,9.56,0.022,-1.238,0.448,0.0,0,0,idle,0,0.353,0.0
1.75,2.793,25.28,9.05,0.022,-1.179,0.43,0.0,0,0,idle,0,0.435,0.0
1.8,2.943,25.14,8.54,0.022,-1.124,0.414,0.0,0,0,idle,0,0.533,0.0
1.85,3.05,24.99,8.19,0.022,-1.074,0.399,0.0,0,0,idle,0,0.635,0.0
1.9,3.172,24.83,7.83,0.022,0.107,0.0,0.013,0,0,idle,0,0.735,0.107
1.95,3.237,24.67,7.62,0.022,0.363,0.0,0.045,0,0,idle,0,0.818,0.363
2.0,3.26,24.51,7.52,0.022,0.542,0.0,0.068,0,0,idle,0,0.876,0.542
2.05,3.213,24.35,7.58,0.021,0.65,0.0,0.081,0,0,idle,0,0.911,0.65
2.1,3.173,24.19,7.62,0.021,0.709,0.0,0.089,0,0,idle,0,0.929,0.709
2.15,3.089,24.03,7.78,0.021,0.74,0.0,0.092,0,0,idle,0,0.938,0.74
2.2,3.032,23.88,7.88,0.021,0.762,0.0,0.095,0,0,idle,0,0.942,0.762
2.25,2.936,23.73,8.08,0.021,0.785,0.0,0.098,0,0,idle,0,0.945,0.785
2.3,2.877,23.59,8.2,0.02,0.838,0.0,0.105,0,0,idle,0,0.949,0.838
2.35,2.775,23.45,8.45,0.02,0.894,0.0,0.112,0,0,idle,0,0.952,0.894
2.4,2.716,23.31,8.58,0.02,0.908,0.0,0.113,0,0,idle,0,0.95,0.908
2.45,2.613,23.18,8.87,0.02,0.866,0.0,0.108,0,0,idle,0,0.943,0.866
2.5,2.558,23.05,9.01,0.019,0.803,0.0,0.1,0,0,idle,0,0.932,0.803
2.55,2.456,22.92,9.33,0.019,0.729,0.0,0.091,0,0,idle,0,0.916,0.729
2.6,2.408,22.8,9.47,0.019,0.657,0.0,0.082,0,0,idle,0,0.899,0.657
2.65,2.31,22.68,9.82,0.019,0.58,0.0,0.073,0,0,idle,0,0.878,0.58
2.7,2.268,22.57,9.95,0.018,0.505,0.0,0.063,0,0,idle,0,0.856,0.505
2.75,2.173,22.46,10.33,0.018,0.42,0.0,0.052,0,0,idle,0,0.83,0.42
2.8,2.138,22.35,10.45,0.018,0.338,0.0,0.042,0,0,idle,0,0.804,0.338
2.85,2.047,22.25,10.87,0.018,0.241,0.0,0.03,0,0,idle,0,0.773,0.241
2.9,2.019,22.14,10.97,0.018,0.15,0.0,0.019,0,0,idle,0,0.744,0.15
2.95,1.932,22.05,11.41,0.017,0.047,0.077,0.0,0,0,idle,0,0.711,0.047
3.0,1.917,21.95,11.45,0.017,-1.042,0.373,0.0,0,0,idle,0,0.683,0.0
3.05,1.856,21.86,11.77,0.017,-1.051,0.375,0.0,0,0,idle,0,0.652,0.0
3.1,1.9,21.76,11.45,0.017,-1.054,0.377,0.0,0,0,idle,0,0.635,0.0
3.15,1.917,21.67,11.3,0.017,-1.054,0.377,0.0,0,0,idle,0,0.628,0.0
3.2,2.01,21.57,10.73,0.016,-1.047,0.376,0.0,0,0,idle,0,0.638,0.0
3.25,2.062,21.47,10.41,0.016,-1.037,0.373,0.0,0,0,idle,0,0.656,0.0
3.3,2.172,21.36,9.83,0.016,-1.022,0.369,0.0,0,0,idle,0,0.686,0.0
3.35,2.235,21.25,9.51,0.015,0.068,0.0,0.008,0,0,idle,0,0.718,0.068
3.4,2.327,21.13,9.08,0.015,0.182,0.0,0.023,0,0,idle,0,0.754,0.182
3.45,2.317,21.02,9.07,0.015,0.265,0.0,0.033,0,0,idle,0,0.78,0.265
3.5,2.326,20.9,8.99,0.015,0.327,0.0,0.041,0,0,idle,0,0.799,0.327
3.55,2.261,20.79,9.19,0.014,0.353,0.0,0.044,0,0,idle,0,0.807,0.353
