t,v,gap,ttc,eff_off,lon_cmd,throttle,brake,rule_aeb,final_aeb,ovt,ped,ml_risk,ml_brake
0.05,0.346,-1,99,0.023,-0.015,0.014,0.0,0,0,idle,0,0.0,0.0
0.1,0.07,-1,99,0.023,-0.041,0.003,0.0,0,0,idle,0,0.0,0.0
0.15,0.049,-1,99,0.023,-0.076,0.026,0.0,0,0,idle,0,0.0,0.0
0.2,0.089,-1,99,0.023,-0.117,0.04,0.0,0,0,idle,0,0.0,0.0
0.25,0.092,-1,99,0.023,-0.163,0.055,0.0,0,0,idle,0,0.0,0.0
0.3,0.081,-1,99,0.023,-0.212,0.072,0.0,0,0,idle,0,0.0,0.0
0.35,0.065,-1,99,0.023,-0.264,0.089,0.0,0,0,idle,0,0.0,0.0
0.4,0.05,-1,99,0.023,-0.318,0.107,0.0,0,0,idle,0,0.0,0.0
0.45,0.037,-1,99,0.023,-0.374,0.125,0.0,0,0,idle,0,0.0,0.0
0.5,0.027,-1,99,0.023,-0.43,0.144,0.0,0,0,idle,0,0.0,0.0
0.55,0.019,-1,99,0.023,-0.488,0.163,0.0,0,0,idle,0,0.0,0.0
0.6,0.013,-1,99,0.023,-0.546,0.182,0.0,0,0,idle,0,0.0,0.0
0.65,0.009,-1,99,0.023,-0.604,0.202,0.0,0,0,idle,0,0.0,0.0
0.7,0.006,-1,99,0.023,-0.663,0.221,0.0,0,0,idle,0,0.0,0.0
0.75,0.004,-1,99,0.023,-0.722,0.241,0.0,0,0,idle,0,0.0,0.0
0.8,0.003,-1,99,0.023,-0.782,0.261,0.0,0,0,idle,0,0.0,0.0
0.85,0.002,-1,99,0.023,-0.841,0.28,0.0,0,0,idle,0,0.0,0.0
0.9,0.001,-1,99,0.023,-0.901,0.3,0.0,0,0,idle,0,0.0,0.0
0.95,0.0,-1,99,0.023,-0.961,0.32,0.0,0,0,idle,0,0.0,0.0
1.0,0.001,-1,99,0.023,-1.021,0.34,0.0,0,0,idle,0,0.0,0.0
1.05,0.0,-1,99,0.023,-1.08,0.36,0.0,0,0,idle,0,0.0,0.0
1.1,0.0,-1,99,0.023,-1.14,0.38,0.0,0,0,idle,0,0.0,0.0
1.15,0.0,-1,99,0.023,-1.2,0.4,0.0,0,0,idle,0,0.0,0.0
1.2,0.0,-1,99,0.023,-1.26,0.42,0.0,0,0,idle,0,0.0,0.0
1.25,0.0,-1,99,0.023,-1.32,0.44,0.0,0,0,idle,0,0.0,0.0
1.3,0.0,-1,99,0.023,-1.38,0.46,0.0,0,0,idle,0,0.0,0.0
1.35,0.0,-1,99,0.023,-1.44,0.48,0.0,0,0,idle,0,0.0,0.0
1.4,0.0,-1,99,0.023,-1.5,0.5,0.0,0,0,idle,0,0.0,0.0
1.45,0.0,-1,99,0.023,-1.56,0.52,0.0,0,0,idle,0,0.0,0.0
1.5,0.0,-1,99,0.023,-1.62,0.54,0.0,0,0,idle,0,0.0,0.0
1.55,0.419,-1,99,0.023,-1.68,0.566,0.0,0,0,idle,0,0.0,0.0
1.6,1.109,-1,99,0.023,-1.71,0.585,0.0,0,0,idle,0,0.0,0.0
1.65,1.57,-1,99,0.023,-1.718,0.593,0.0,0,0,idle,0,0.0,0.0
1.7,1.948,-1,99,0.022,-1.708,0.595,0.0,0,0,idle,0,0.0,0.0
1.75,2.22,-1,99,0.022,-1.686,0.592,0.0,0,0,idle,0,0.0,0.0
1.8,2.46,-1,99,0.022,-1.655,0.584,0.0,0,0,idle,0,0.0,0.0
1.85,2.668,-1,99,0.022,-1.616,0.574,0.0,0,0,idle,0,0.0,0.0
1.9,2.873,-1,99,0.022,-1.572,0.562,0.0,0,0,idle,0,0.0,0.0
1.95,3.055,-1,99,0.022,-1.524,0.549,0.0,0,0,idle,0,0.0,0.0
2.0,3.237,-1,99,0.022,-1.473,0.534,0.0,0,0,idle,0,0.0,0.0
2.05,3.399,-1,99,0.022,-1.42,0.519,0.0,0,0,idle,0,0.0,0.0
2.1,3.561,-1,99,0.022,-1.365,0.502,0.0,0,0,idle,0,0.0,0.0
2.15,3.706,-1,99,0.022,-1.309,0.486,0.0,0,0,idle,0,0.0,0.0
2.2,3.848,-1,99,0.022,-1.251,0.468,0.0,0,0,idle,0,0.0,0.0
2.25,3.972,-1,99,0.022,-1.194,0.451,0.0,0,0,idle,0,0.0,0.0
2.3,4.091,-1,99,0.022,-1.139,0.434,0.0,0,0,idle,0,0.0,0.0
2.35,4.196,-1,99,0.021,-1.092,0.42,0.0,0,0,idle,0,0.0,0.0
2.4,4.295,-1,99,0.021,-1.051,0.408,0.0,0,0,idle,0,0.0,0.0
2.45,4.382,-1,99,0.021,-1.014,0.397,0.0,0,0,idle,0,0.0,0.0
2.5,4.465,-1,99,0.021,-0.982,0.387,0.0,0,0,idle,0,0.0,0.0
2.55,4.539,-1,99,0.021,-0.953,0.378,0.0,0,0,idle,0,0.0,0.0
2.6,4.607,-1,99,0.02,-0.926,0.37,0.0,0,0,idle,0,0.0,0.0
2.65,4.67,-1,99,0.02,-0.903,0.363,0.0,0,0,idle,0,0.0,0.0
2.7,4.729,-1,99,0.02,-0.882,0.357,0.0,0,0,idle,0,0.0,0.0
2.75,4.783,-1,99,0.019,-0.862,0.351,0.0,0,0,idle,0,0.0,0.0
2.8,4.833,-1,99,0.019,-0.845,0.346,0.0,0,0,idle,0,0.0,0.0
2.85,4.879,-1,99,0.019,-0.829,0.341,0.0,0,0,idle,0,0.0,0.0
2.9,4.923,-1,99,0.019,-0.814,0.337,0.0,0,0,idle,0,0.0,0.0
2.95,4.963,-1,99,0.019,-0.8,0.333,0.0,0,0,idle,0,0.0,0.0
3.0,5.001,-1,99,0.018,-0.788,0.329,0.0,0,0,idle,0,0.0,0.0
3.05,5.037,-1,99,0.018,-0.776,0.326,0.0,0,0,idle,0,0.0,0.0
3.1,5.026,-1,99,0.018,-0.768,0.323,0.0,0,0,idle,0,0.0,0.0
3.15,5.029,-1,99,0.018,-0.761,0.321,0.0,0,0,idle,0,0.0,0.0
3.2,4.986,-1,99,0.018,-0.76,0.32,0.0,0,0,idle,0,0.0,0.0
3.25,5.004,-1,99,0.018,-0.757,0.319,0.0,0,0,idle,0,0.0,0.0
3.3,5.054,-1,99,0.018,-0.752,0.318,0.0,0,0,idle,0,0.0,0.0
3.35,5.042,-1,99,0.017,-0.749,0.317,0.0,0,0,idle,0,0.0,0.0
3.4,5.003,-1,99,0.017,-0.749,0.316,0.0,0,0,idle,0,0.0,0.0
3.45,5.05,-1,99,0.017,-0.746,0.316,0.0,0,0,idle,0,0.0,0.0
3.5,5.03,-1,99,0.017,-0.745,0.315,0.0,0,0,idle,0,0.0,0.0
3.55,5.023,-1,99,0.017,-0.745,0.315,0.0,0,0,idle,0,0.0,0.0
3.6,5.049,-1,99,0.017,-0.743,0.315,0.0,0,0,idle,0,0.0,0.0
3.65,5.03,-1,99,0.016,-0.743,0.315,0.0,0,0,idle,0,0.0,0.0
3.7,5.058,-1,99,0.016,-0.741,0.314,0.0,0,0,idle,0,0.0,0.0
