target_kmh,target_v,rms_mean,rms_std,max_off,mean_v,mean_v_kmh,diverge_rate,n
36,10.0,0.1197,0.0016,0.142,9.24,33.3,0.0,6
48,13.33,0.1282,0.0013,0.161,9.43,34.0,0.0,6
60,16.67,0.1292,0.0009,0.166,9.43,34.0,0.0,6
72,20.0,0.1282,0.0014,0.173,9.57,34.4,0.0,6
84,23.33,0.1284,0.0021,0.174,9.55,34.4,0.0,6
96,26.67,0.1291,0.0012,0.166,9.53,34.3,0.0,6
108,30.0,0.1282,0.0014,0.164,9.51,34.2,0.0,6
120,33.33,0.1295,0.0013,0.17,9.56,34.4,0.0,6
132,36.67,0.1285,0.0014,0.171,9.57,34.4,0.0,6
144,40.0,0.1288,0.0008,0.171,9.62,34.6,0.0,6
