target_kmh,target_v,rms_mean,rms_std,max_off,mean_v,mean_v_kmh,diverge_rate,n
36,10.0,0.1219,0.0011,0.14,9.8,35.3,0.0,6
48,13.33,0.1505,0.0025,0.172,12.98,46.7,0.0,6
60,16.67,0.149,0.0018,0.168,15.89,57.2,0.0,6
72,20.0,0.1119,0.0019,0.149,18.55,66.8,0.0,6
84,23.33,0.0964,0.0031,0.144,21.17,76.2,0.0,6
96,26.67,0.2673,0.0079,0.36,26.22,94.4,0.0,6
108,30.0,0.5047,0.0033,0.623,29.28,105.4,0.0,6
120,33.33,0.713,0.0039,0.826,32.12,115.6,0.0,6
132,36.67,0.779,0.0031,0.885,33.12,119.2,0.0,6
144,40.0,0.7903,0.0047,0.883,33.27,119.8,0.0,6
