t,v,gap,ttc,eff_off,lon_cmd,throttle,brake,rule_aeb,final_aeb,ovt,ped,ml_risk,ml_brake
0.05,0.346,-1,99,0.023,-0.015,0.014,0.0,0,0,idle,0,0.0,0.0
0.1,0.07,-1,99,0.023,-0.041,0.003,0.0,0,0,idle,0,0.0,0.0
0.15,0.049,-1,99,0.023,-0.076,0.026,0.0,0,0,idle,0,0.0,0.0
0.2,0.089,-1,99,0.023,-0.117,0.04,0.0,0,0,idle,0,0.0,0.0
0.25,0.092,20.03,99,0.023,-0.17,0.058,0.0,0,0,confirming,0,0.0,0.0
0.3,0.081,20.03,99,0.023,-0.233,0.079,0.0,0,0,confirming,0,0.0,0.0
0.35,0.065,20.03,99,0.023,-0.302,0.102,0.0,0,0,confirming,0,0.0,0.0
0.4,0.05,20.03,99,0.023,-0.376,0.126,0.0,0,0,confirming,0,0.0,0.0
0.45,0.037,20.03,99,0.023,-0.455,0.152,0.0,0,0,confirming,0,0.0,0.0
0.5,0.027,20.03,99,0.023,-0.536,0.179,0.0,0,0,confirming,0,0.0,0.0
0.55,0.019,20.03,99,0.023,-0.62,0.207,0.0,0,0,confirming,0,0.0,0.0
0.6,0.013,20.03,99,0.023,-0.705,0.235,0.0,0,0,confirming,0,0.0,0.0
0.65,0.009,20.03,99,0.023,-0.791,0.264,0.0,0,0,confirming,0,0.0,0.0
0.7,0.006,20.03,99,0.023,-0.878,0.293,0.0,0,0,confirming,0,0.0,0.0
0.75,0.004,20.03,99,0.023,-0.966,0.322,0.0,0,0,confirming,0,0.0,0.0
0.8,0.003,20.03,99,0.023,-1.055,0.352,0.0,0,0,confirming,0,0.0,0.0
0.85,0.002,20.03,99,0.023,-1.143,0.381,0.0,0,0,confirming,0,0.0,0.0
0.9,0.001,20.03,99,0.023,-1.22,0.407,0.0,0,0,confirming,0,0.0,0.0
0.95,0.0,20.03,99,0.023,-1.278,0.426,0.0,0,0,confirming,0,0.0,0.0
1.0,0.001,20.03,99,0.023,-1.321,0.44,0.0,0,0,confirming,0,0.0,0.0
1.05,0.0,20.03,99,0.023,-1.354,0.451,0.0,0,0,confirming,0,0.0,0.0
1.1,0.0,20.03,99,0.023,-1.378,0.459,0.0,0,0,confirming,0,0.0,0.0
1.15,0.0,20.03,99,0.023,-1.396,0.465,0.0,0,0,confirming,0,0.0,0.0
1.2,0.0,20.03,99,0.023,-1.41,0.47,0.0,0,0,confirming,0,0.077,0.0
1.25,0.0,20.03,99,0.023,-1.42,0.473,0.0,0,0,confirming,0,0.077,0.0
1.3,0.0,20.03,99,0.023,-1.428,0.476,0.0,0,0,confirming,0,0.077,0.0
1.35,0.0,20.03,99,0.023,-1.434,0.478,0.0,0,0,confirming,0,0.077,0.0
1.4,0.003,20.03,99,0.023,-1.438,0.479,0.0,0,0,confirming,0,0.077,0.0
1.45,0.864,20.0,23.17,0.023,-1.418,0.484,0.0,0,0,confirming,0,0.102,0.0
1.5,1.399,19.94,14.26,0.023,-1.381,0.479,0.0,0,0,confirming,0,0.137,0.0
1.55,1.77,19.86,11.22,0.022,-1.331,0.467,0.0,0,0,idle,0,0.176,0.0
1.6,2.018,19.77,9.8,0.022,-1.271,0.45,0.0,0,0,idle,0,0.222,0.0
1.65,2.214,19.66,8.88,0.022,-1.203,0.431,0.0,0,0,idle,0,0.273,0.0
1.7,2.38,19.54,8.21,0.022,-1.13,0.408,0.0,0,0,idle,0,0.342,0.0
1.75,2.525,19.42,7.69,0.022,-1.052,0.384,0.0,0,0,idle,0,0.425,0.0
1.8,2.652,19.29,7.28,0.022,-0.977,0.361,0.0,0,0,idle,0,0.518,0.0
1.85,2.761,19.15,6.94,0.022,-0.911,0.34,0.0,0,0,idle,0,0.622,0.0
1.9,2.856,19.01,6.66,0.022,0.067,0.0,0.008,0,0,idle,0,0.722,0.067
1.95,2.921,18.87,6.46,0.022,0.33,0.0,0.041,0,0,idle,0,0.807,0.33
2.0,2.927,18.72,6.4,0.022,0.523,0.0,0.065,0,0,idle,0,0.87,0.523
2.05,2.897,18.58,6.41,0.022,0.652,0.0,0.082,0,0,idle,0,0.912,0.652
2.1,2.845,18.43,6.48,0.022,0.726,0.0,0.091,0,0,idle,0,0.935,0.726
2.15,2.782,18.29,6.58,0.022,0.773,0.0,0.097,0,0,idle,0,0.947,0.773
2.2,2.711,18.16,6.7,0.021,0.827,0.0,0.103,0,0,idle,0,0.954,0.827
2.25,2.637,18.02,6.84,0.021,0.956,0.0,0.12,0,0,idle,0,0.959,0.956
2.3,2.558,17.89,6.99,0.021,1.195,0.0,0.149,0,0,idle,0,0.965,1.195
2.35,2.475,17.77,7.18,0.021,1.42,0.0,0.178,0,0,idle,0,0.969,1.42
2.4,2.388,17.65,7.39,0.021,1.439,0.0,0.18,0,0,idle,0,0.969,1.439
2.45,2.301,17.53,7.62,0.021,1.396,0.0,0.175,0,0,idle,0,0.965,1.396
2.5,2.216,17.42,7.86,0.021,1.277,0.0,0.16,0,0,idle,0,0.958,1.277
2.55,2.133,17.31,8.12,0.021,1.13,0.0,0.141,0,0,idle,0,0.949,1.13
2.6,2.054,17.21,8.38,0.02,0.956,0.0,0.12,0,0,idle,0,0.934,0.956
2.65,1.979,17.1,8.64,0.02,0.789,0.0,0.099,0,0,idle,0,0.912,0.789
2.7,1.909,17.01,8.91,0.02,0.656,0.0,0.082,0,0,idle,0,0.886,0.656
2.75,1.842,16.91,9.18,0.02,0.539,0.0,0.067,0,0,idle,0,0.857,0.539
2.8,1.779,16.82,9.46,0.02,0.424,0.0,0.053,0,0,idle,0,0.825,0.424
2.85,1.719,16.74,9.73,0.02,0.305,0.0,0.038,0,0,idle,0,0.789,0.305
2.9,1.013,16.67,16.46,0.02,-0.837,0.292,0.0,0,0,confirming,0,0.634,0.0
2.95,0.972,16.62,17.09,0.02,-0.882,0.307,0.0,0,0,confirming,0,0.472,0.0
3.0,1.094,16.56,15.14,0.02,-0.908,0.317,0.0,0,0,confirming,0,0.385,0.0
3.05,1.091,16.51,15.13,0.02,-0.927,0.323,0.0,0,0,confirming,0,0.336,0.0
3.1,1.207,16.45,13.63,0.02,-0.933,0.327,0.0,0,0,confirming,0,0.328,0.0
3.15,1.24,16.39,13.21,0.02,-0.934,0.328,0.0,0,0,confirming,0,0.329,0.0
3.2,1.378,16.32,11.85,0.02,-0.926,0.327,0.0,0,0,confirming,0,0.349,0.0
3.25,1.405,16.25,11.57,0.02,-0.916,0.324,0.0,0,0,confirming,0,0.366,0.0
3.3,1.553,16.18,10.42,0.02,-0.899,0.32,0.0,0,0,idle,0,0.399,0.0
3.35,1.577,16.1,10.21,0.02,-0.884,0.316,0.0,0,0,idle,0,0.428,0.0
3.4,1.719,16.02,9.32,0.02,-0.862,0.31,0.0,0,0,idle,0,0.471,0.0
3.45,1.739,15.93,9.16,0.02,-0.843,0.304,0.0,0,0,idle,0,0.511,0.0
3.5,1.872,15.84,8.46,0.02,-0.819,0.298,0.0,0,0,idle,0,0.571,0.0
3.55,1.888,15.75,8.34,0.02,-0.798,0.291,0.0,0,0,idle,0,0.622,0.0
