t,v,gap,ttc,eff_off,lon_cmd,throttle,brake,rule_aeb,final_aeb,ovt,ped,ml_risk,ml_brake
0.05,0.346,-1,99,0.023,-0.015,0.014,0.0,0,0,idle,0,0.0,0.0
0.1,0.07,-1,99,0.023,-0.041,0.003,0.0,0,0,idle,0,0.0,0.0
0.15,0.049,-1,99,0.023,-0.076,0.026,0.0,0,0,idle,0,0.0,0.0
0.2,0.089,-1,99,0.023,-0.117,0.04,0.0,0,0,idle,0,0.0,0.0
0.25,0.092,-1,99,0.023,-0.163,0.055,0.0,0,0,idle,0,0.0,0.0
0.3,0.081,-1,99,0.023,-0.212,0.072,0.0,0,0,idle,0,0.0,0.0
0.35,0.065,-1,99,0.023,-0.264,0.089,0.0,0,0,idle,0,0.0,0.0
0.4,0.05,-1,99,0.023,-0.318,0.107,0.0,0,0,idle,0,0.0,0.0
0.45,0.037,-1,99,0.023,-0.374,0.125,0.0,0,0,idle,0,0.0,0.0
0.5,0.027,-1,99,0.023,-0.43,0.144,0.0,0,0,idle,0,0.0,0.0
0.55,0.019,-1,99,0.023,-0.488,0.163,0.0,0,0,idle,0,0.0,0.0
0.6,0.013,-1,99,0.023,-0.546,0.182,0.0,0,0,idle,0,0.0,0.0
0.65,0.009,-1,99,0.023,-0.604,0.202,0.0,0,0,idle,0,0.0,0.0
0.7,0.006,-1,99,0.023,-0.663,0.221,0.0,0,0,idle,0,0.0,0.0
0.75,0.004,-1,99,0.023,-0.722,0.241,0.0,0,0,idle,0,0.0,0.0
0.8,0.003,-1,99,0.023,-0.782,0.261,0.0,0,0,idle,0,0.0,0.0
0.85,0.002,-1,99,0.023,-0.841,0.28,0.0,0,0,idle,0,0.0,0.0
0.9,0.001,-1,99,0.023,-0.901,0.3,0.0,0,0,idle,0,0.0,0.0
0.95,0.0,-1,99,0.023,-0.961,0.32,0.0,0,0,idle,0,0.0,0.0
1.0,0.001,-1,99,0.023,-1.021,0.34,0.0,0,0,idle,0,0.0,0.0
1.05,0.0,-1,99,0.023,-1.08,0.36,0.0,0,0,idle,0,0.0,0.0
1.1,0.0,-1,99,0.023,-1.14,0.38,0.0,0,0,idle,0,0.0,0.0
1.15,0.0,-1,99,0.023,-1.2,0.4,0.0,0,0,idle,0,0.0,0.0
1.2,0.0,-1,99,0.023,-1.26,0.42,0.0,0,0,idle,0,0.0,0.0
1.25,0.0,-1,99,0.023,-1.32,0.44,0.0,0,0,idle,0,0.0,0.0
1.3,0.0,-1,99,0.023,-1.38,0.46,0.0,0,0,idle,0,0.0,0.0
1.35,0.0,-1,99,0.023,-1.44,0.48,0.0,0,0,idle,0,0.0,0.0
1.4,0.0,-1,99,0.023,-1.5,0.5,0.0,0,0,idle,0,0.0,0.0
1.45,0.0,-1,99,0.023,-1.56,0.52,0.0,0,0,idle,0,0.0,0.0
1.5,0.0,-1,99,0.023,-1.62,0.54,0.0,0,0,idle,0,0.0,0.0
1.55,0.419,-1,99,0.023,-1.68,0.566,0.0,0,0,idle,0,0.0,0.0
1.6,1.147,-1,99,0.023,-1.71,0.585,0.0,0,0,idle,0,0.0,0.0
1.65,1.631,-1,99,0.023,-1.718,0.594,0.0,0,0,idle,0,0.0,0.0
1.7,1.97,-1,99,0.023,-1.708,0.596,0.0,0,0,idle,0,0.0,0.0
1.75,2.249,-1,99,0.023,-1.686,0.592,0.0,0,0,idle,0,0.0,0.0
1.8,2.479,-1,99,0.023,-1.655,0.585,0.0,0,0,idle,0,0.0,0.0
1.85,2.701,-1,99,0.023,-1.616,0.575,0.0,0,0,idle,0,0.0,0.0
1.9,2.895,-1,99,0.023,-1.572,0.563,0.0,0,0,idle,0,0.0,0.0
1.95,3.088,-1,99,0.022,-1.524,0.549,0.0,0,0,idle,0,0.0,0.0
2.0,3.26,-1,99,0.022,-1.473,0.534,0.0,0,0,idle,0,0.0,0.0
2.05,3.431,-1,99,0.022,-1.42,0.519,0.0,0,0,idle,0,0.0,0.0
2.1,3.585,-1,99,0.022,-1.365,0.503,0.0,0,0,idle,0,0.0,0.0
2.15,3.737,-1,99,0.022,-1.309,0.486,0.0,0,0,idle,0,0.0,0.0
2.2,3.872,-1,99,0.022,-1.251,0.469,0.0,0,0,idle,0,0.0,0.0
2.25,4.002,-1,99,0.022,-1.194,0.451,0.0,0,0,idle,0,0.0,0.0
2.3,4.115,-1,99,0.022,-1.138,0.434,0.0,0,0,idle,0,0.0,0.0
2.35,4.224,-1,99,0.021,-1.09,0.419,0.0,0,0,idle,0,0.0,0.0
2.4,4.319,-1,99,0.021,-1.047,0.407,0.0,0,0,idle,0,0.0,0.0
2.45,4.408,-1,99,0.021,-1.01,0.395,0.0,0,0,idle,0,0.0,0.0
2.5,4.488,-1,99,0.021,-0.977,0.385,0.0,0,0,idle,0,0.0,0.0
2.55,4.562,-1,99,0.021,-0.948,0.377,0.0,0,0,idle,0,0.0,0.0
2.6,4.63,-1,99,0.02,-0.921,0.369,0.0,0,0,idle,0,0.0,0.0
2.65,4.692,-1,99,0.02,-0.898,0.362,0.0,0,0,idle,0,0.0,0.0
2.7,4.749,-1,99,0.02,-0.876,0.355,0.0,0,0,idle,0,0.0,0.0
2.75,4.802,-1,99,0.02,-0.857,0.35,0.0,0,0,idle,0,0.0,0.0
2.8,4.852,-1,99,0.019,-0.84,0.345,0.0,0,0,idle,0,0.0,0.0
2.85,4.897,-1,99,0.019,-0.824,0.34,0.0,0,0,idle,0,0.0,0.0
2.9,4.94,-1,99,0.019,-0.809,0.336,0.0,0,0,idle,0,0.0,0.0
2.95,4.98,-1,99,0.019,-0.796,0.332,0.0,0,0,idle,0,0.0,0.0
3.0,5.018,-1,99,0.018,-0.783,0.328,0.0,0,0,idle,0,0.0,0.0
3.05,5.055,-1,99,0.018,-0.771,0.325,0.0,0,0,idle,0,0.0,0.0
3.1,4.972,-1,99,0.018,-0.768,0.322,0.0,0,0,idle,0,0.0,0.0
3.15,4.99,-1,99,0.018,-0.764,0.321,0.0,0,0,idle,0,0.0,0.0
3.2,5.056,-1,99,0.017,-0.757,0.32,0.0,0,0,idle,0,0.0,0.0
3.25,5.055,-1,99,0.017,-0.752,0.318,0.0,0,0,idle,0,0.0,0.0
3.3,5.035,-1,99,0.017,-0.749,0.317,0.0,0,0,idle,0,0.0,0.0
3.35,5.035,-1,99,0.017,-0.747,0.316,0.0,0,0,idle,0,0.0,0.0
3.4,5.01,-1,99,0.016,-0.747,0.316,0.0,0,0,idle,0,0.0,0.0
3.45,5.056,-1,99,0.016,-0.744,0.316,0.0,0,0,idle,0,0.0,0.0
3.5,5.036,-1,99,0.016,-0.744,0.315,0.0,0,0,idle,0,0.0,0.0
3.55,5.033,-1,99,0.016,-0.743,0.315,0.0,0,0,idle,0,0.0,0.0
3.6,5.056,-1,99,0.016,-0.741,0.315,0.0,0,0,idle,0,0.0,0.0
3.65,5.03,-1,99,0.015,-0.742,0.314,0.0,0,0,idle,0,0.0,0.0
3.7,5.06,-1,99,0.015,-0.74,0.314,0.0,0,0,idle,0,0.0,0.0
