t,ego_v,gap,lane_offset,mode,delta_cmd,lon_cmd,steer,throttle,brake,lead_v,lead_ttc,aeb_active,ovt_state,ped_warn,failover_src,ovt_off,ovt_tgt
0.05,0.09,-,0.023,LKA,0.0000,-0.01,0.000,0.00,0.00,-,-,0,idle,0,0,0.023,0.000
0.10,0.09,-,0.023,LKA,0.0000,-0.04,0.000,0.00,0.00,-,-,0,idle,0,0,0.023,0.000
0.15,0.08,-,0.023,LKA,0.0000,-0.08,0.000,0.03,0.00,-,-,0,idle,0,0,0.023,0.000
0.20,0.07,-,0.023,LKA,0.0000,-0.12,0.000,0.04,0.00,-,-,0,idle,0,0,0.023,0.000
0.25,0.05,55.03,0.023,ACC+LKA,0.0000,-0.17,0.000,0.06,0.00,0.00,550.3,0,idle,0,0,0.023,0.000
0.30,0.04,55.03,0.023,ACC+LKA,0.0000,-0.23,0.000,0.08,0.00,0.00,550.3,0,idle,0,0,0.023,0.000
0.35,0.03,55.03,0.023,ACC+LKA,0.0000,-0.30,0.000,0.10,0.00,0.00,550.3,0,idle,0,0,0.023,0.000
0.40,0.02,55.03,0.023,ACC+LKA,0.0000,-0.38,0.000,0.13,0.00,0.00,550.3,0,idle,0,0,0.023,0.000
0.45,0.01,55.03,0.023,ACC+LKA,0.0000,-0.45,0.000,0.15,0.00,0.00,550.3,0,idle,0,0,0.023,0.000
0.50,0.01,55.03,0.023,ACC+LKA,0.0000,-0.54,0.000,0.18,0.00,0.00,550.3,0,idle,0,0,0.023,0.000
0.55,0.01,55.03,0.023,ACC+LKA,0.0000,-0.62,0.000,0.21,0.00,0.00,550.3,0,idle,0,0,0.023,0.000
0.60,0.00,55.03,0.023,ACC+LKA,0.0000,-0.70,0.000,0.23,0.00,0.00,550.3,0,idle,0,0,0.023,0.000
0.65,0.00,55.03,0.023,ACC+LKA,0.0000,-0.79,0.000,0.26,0.00,0.00,550.3,0,idle,0,0,0.023,0.000
0.70,0.00,55.03,0.023,ACC+LKA,0.0000,-0.88,0.000,0.29,0.00,0.00,550.3,0,idle,0,0,0.023,0.000
0.75,0.00,55.03,0.023,ACC+LKA,0.0000,-0.97,0.000,0.32,0.00,0.00,550.3,0,idle,0,0,0.023,0.000
0.80,0.00,55.03,0.023,ACC+LKA,0.0000,-1.05,0.000,0.35,0.00,0.00,550.3,0,idle,0,0,0.023,0.000
0.85,0.00,55.03,0.023,ACC+LKA,0.0000,-1.14,0.000,0.38,0.00,0.00,550.3,0,idle,0,0,0.023,0.000
0.90,0.00,55.03,0.023,ACC+LKA,0.0000,-1.23,0.000,0.41,0.00,0.00,550.3,0,idle,0,0,0.023,0.000
0.95,0.00,55.03,0.023,ACC+LKA,0.0000,-1.32,0.000,0.44,0.00,0.00,550.3,0,idle,0,0,0.023,0.000
1.00,0.00,55.03,0.023,ACC+LKA,0.0000,-1.39,0.000,0.46,0.00,0.00,550.3,0,idle,0,0,0.023,0.000
1.05,0.00,55.03,0.023,ACC+LKA,0.0000,-1.44,0.000,0.48,0.00,0.00,550.3,0,idle,0,0,0.023,0.000
1.10,0.00,55.03,0.023,ACC+LKA,0.0000,-1.48,0.000,0.49,0.00,0.00,550.3,0,idle,0,0,0.023,0.000
1.15,0.00,55.03,0.023,ACC+LKA,0.0000,-1.51,0.000,0.50,0.00,0.00,550.3,0,idle,0,0,0.023,0.000
1.20,0.00,55.03,0.023,ACC+LKA,0.0000,-1.53,0.000,0.51,0.00,0.00,550.3,0,idle,0,0,0.023,0.000
1.25,0.00,55.03,0.023,ACC+LKA,0.0000,-1.55,0.000,0.52,0.00,0.00,550.3,0,idle,0,0,0.023,0.000
